t	rcthr	rcpit	gyropit	intpit	stabpit	pitout	rcroll	gyroroll	introll	stabroll	rollout	rcyaw	gyroyaw	intyaw	stabyaw	yawout	FR	FL	BR	BL
0	24781	-2673	-0.030488	5.282582	-200.000000	-100	4900	-0.000000	-0.997172	200.000000	100	12270	-0.030488	0.088382	12270.000000	200	24781	24581	24581	25181
1	24781	-2673	-0.030488	5.282646	-200.000000	-101	4900	-0.000000	-0.989863	200.000000	101	12270	-0.030488	0.095075	12270.000000	200	24779	24581	24581	25183
2	24781	-2673	-0.030488	5.282770	-200.000000	-101	4900	-0.000000	-0.975246	200.000000	101	12270	-0.030488	0.108460	12270.000000	200	24779	24581	24581	25183
3	24781	-2673	-0.030488	5.289818	-200.000000	-102	4900	-0.000000	-0.967927	200.000000	102	12270	-0.030488	0.115213	12270.000000	200	24777	24581	24581	25185
4	24781	-2673	-0.030488	5.289936	-200.000000	-102	4900	-0.000000	-0.953309	200.000000	103	12270	-0.030488	0.128597	12270.000000	200	24776	24582	24580	25186
5	24781	-2673	-0.030488	5.289994	-200.000000	-103	4900	-0.000000	-0.945999	200.000000	103	12270	-0.030488	0.135290	12270.000000	200	24775	24581	24581	25187
6	24781	-2673	-0.030488	5.290051	-200.000000	-104	4900	-0.000000	-0.931704	200.000000	104	12270	-0.030488	0.141658	12270.000000	200	24773	24581	24581	25189
7	24781	-2673	-0.030488	5.290107	-200.000000	-104	4900	-0.000000	-0.924395	200.000000	104	12270	-0.030488	0.148351	12270.000000	200	24773	24581	24581	25189
8	24781	-2673	-0.030488	5.297202	-200.000000	-105	4900	-0.000000	-0.909764	200.000000	105	12270	-0.030488	0.161792	12270.000000	200	24771	24581	24581	25191
9	24781	-2673	-0.030488	5.297255	-200.000000	-105	4900	-0.000000	-0.902454	200.000000	106	12270	-0.030488	0.168484	12270.000000	200	24770	24582	24580	25192
10	24781	-2673	-0.030488	5.297304	-200.000000	-106	4900	-0.000000	-0.888158	200.000000	106	12270	-0.030488	0.174852	12270.000000	200	24769	24581	24581	25193
11	24781	-2673	0.000000	5.297408	-200.000000	-107	4900	-0.000000	-0.880525	200.000000	107	12270	-0.030488	0.188560	12270.000000	200	24767	24581	24581	25195
12	24781	-2673	-0.030488	5.297453	-200.000000	-107	4900	-0.000000	-0.866229	200.000000	107	12270	-0.030488	0.194928	12270.000000	200	24767	24581	24581	25195
