t	rcthr	rcpit	gyropit	intpit	stabpit	pitout	rcroll	gyroroll	introll	stabroll	rollout	rcyaw	gyroyaw	intyaw	stabyaw	yawout	FR	FL	BR	BL
0	1000	0	-0.030488	5.401572	0.000000	-1098560767	0	-0.000000	-0.962821	-0.260329	-1226230613	0.000000	-0.030488	0.073754	-0.260329	0	1000	1000	1000	1000
1	1000	0	-0.030488	5.401638	0.000000	-1098560767	0	-0.000000	-0.948519	-0.260329	-1226230613	0.000000	-0.030488	0.080110	-0.260329	0	1000	1000	1000	1000
2	1000	0	-0.030488	5.401756	0.000000	-1098560767	0	-0.000000	-0.940874	-0.260329	-1226230613	0.000000	-0.030488	0.093814	-0.260329	0	1000	1000	1000	1000
3	1000	0	-0.030488	5.408804	0.000000	-1098560767	0	-0.000000	-0.926563	-0.260329	-1226230613	0.000000	-0.030488	0.100227	-0.260329	0	1000	1000	1000	1000
4	1000	0	-0.030488	5.408918	0.000000	-1098560767	0	-0.000000	-0.918917	-0.260329	-1226230613	0.000000	-0.030488	0.113931	-0.260329	0	1000	1000	1000	1000
5	999	0	-0.030488	5.409031	0.000000	-1098560767	0	-0.000000	-0.911270	-0.260329	-1226230613	0.000000	-0.030488	0.127635	-0.260329	0	1000	1000	1000	1000
6	999	0	-0.030488	5.409086	0.000000	-1098560767	0	-0.000000	-0.896968	-0.260329	-1226230613	0.000000	-0.030488	0.133990	-0.260329	0	1000	1000	1000	1000
7	1000	0	-0.030488	5.409194	0.000000	-1098560767	0	-0.000000	-0.889321	-0.260329	-1226230613	0.000000	-0.030488	0.147694	-0.260329	0	1000	1000	1000	1000
8	1000	0	-0.030488	5.409298	0.000000	-1098560767	0	-0.000000	-0.874688	-0.260329	-1226230613	0.000000	-0.030488	0.161067	-0.260329	0	1000	1000	1000	1000
9	1000	0	-0.030488	5.409402	0.000000	-1098560767	0	-0.000000	-0.867042	-0.260329	-1226230613	0.000000	-0.030488	0.174771	-0.260329	0	1000	1000	1000	1000
10	999	0	-0.030488	5.409448	0.000000	-1098560767	0	-0.000000	-0.852739	-0.260329	-1226230613	0.000000	-0.030488	0.181127	-0.260329	0	1000	1000	1000	1000
11	999	0	-0.030488	5.416481	0.000000	-1098560767	0	-0.000000	-0.845409	-0.260329	-1226230613	0.000000	-0.030488	0.187866	-0.260329	0	1000	1000	1000	1000
12	999	0	-0.030488	5.416580	0.000000	-1098560767	0	-0.000000	-0.837762	-0.260329	-1226230613	0.000000	-0.030488	0.201569	-0.260329	0	1000	1000	1000	1000
13	999	0	-0.030488	5.416625	0.000000	-1098560767	0	-0.000000	-0.830445	-0.260329	-1226230613	0.000000	-0.030488	0.208256	-0.260329	0	1000	1000	1000	1000
14	1000	0	-0.030488	5.416664	0.000000	-1098560767	0	-0.000000	-0.816142	-0.260329	-1226230613	0.000000	-0.030488	0.214610	-0.260329	0	1000	1000	1000	1000
