t	rcthr	rcpit	gyropit	intpit	stabpit	pitout	rcroll	gyroroll	introll	stabroll	rollout	rcyaw	gyroyaw	intyaw	stabyaw	yawout	FR	FL	BR	BL
0	0	0	-0.030488	4.868559	0.000000	0	0	-0.030488	-3.017978	0.000000	0	0.000000	-0.030488	0.156879	0.000000	0	1000	1000	1000	1000
1	0	0	0.000000	4.868955	0.000000	0	0	-0.030488	-3.003412	0.000000	0	0.000000	-0.030488	0.170307	0.000000	0	1000	1000	1000	1000
2	0	0	-0.030488	4.869164	0.000000	0	0	-0.000000	-2.989143	0.000000	0	0.000000	-0.030488	0.176724	0.000000	0	1000	1000	1000	1000
3	0	0	-0.030488	4.876528	0.000000	0	0	-0.030488	-2.981542	0.000000	0	0.000000	-0.030488	0.190633	0.000000	0	1000	1000	1000	1000
4	0	0	-0.030488	4.876733	0.000000	0	0	-0.000000	-2.967273	0.000000	0	0.000000	-0.030488	0.197050	0.000000	0	1000	1000	1000	1000
5	0	0	-0.030488	4.877117	0.000000	0	0	-0.030488	-2.952705	0.000000	0	0.000000	-0.030488	0.210478	0.000000	0	1000	1000	1000	1000
6	0	0	-0.030488	4.884303	0.000000	0	0	-0.000000	-2.938414	0.000000	0	0.000000	-0.030488	0.217076	0.000000	0	1000	1000	1000	1000
7	0	0	-0.030488	4.884681	0.000000	0	0	-0.030488	-2.923846	0.000000	0	0.000000	-0.030488	0.230504	0.000000	0	1000	1000	1000	1000
8	0	0	-0.030488	4.884877	0.000000	0	0	-0.030488	-2.909575	0.000000	0	0.000000	-0.030488	0.236920	0.000000	0	1000	1000	1000	1000
9	0	0	-0.030488	4.892233	0.000000	0	0	-0.030488	-2.894984	0.000000	0	0.000000	-0.030488	0.250527	0.000000	0	1000	1000	1000	1000
10	0	0	-0.030488	4.892425	0.000000	0	0	-0.030488	-2.880713	0.000000	0	0.000000	-0.030488	0.256943	0.000000	0	1000	1000	1000	1000
11	0	0	-0.030488	4.892789	0.000000	0	0	-0.030488	-2.866143	0.000000	0	0.000000	-0.030488	0.270371	0.000000	0	1000	1000	1000	1000
12	0	0	-0.030488	4.899961	0.000000	0	0	-0.000000	-2.851847	0.000000	0	0.000000	-0.030488	0.276963	0.000000	0	1000	1000	1000	1000
13	0	0	-0.030488	4.899847	0.000000	0	0	-0.000000	-2.837403	0.000000	0	0.000000	-0.030488	0.283319	0.000000	0	1000	1000	1000	1000
14	0	0	-0.030488	4.900203	0.000000	0	0	-0.030488	-2.822833	0.000000	0	0.000000	-0.030488	0.296745	0.000000	0	1000	1000	1000	1000
15	0	0	-0.030488	4.907364	0.000000	0	0	-0.030488	-2.815522	0.000000	0	0.000000	-0.030488	0.303631	0.000000	0	1000	1000	1000	1000
16	0	0	-0.030488	4.907714	0.000000	0	0	-0.030488	-2.800951	0.000000	0	0.000000	-0.030488	0.317056	0.000000	0	1000	1000	1000	1000
17	0	0	-0.030488	4.908061	0.000000	0	0	-0.000000	-2.786379	0.000000	0	0.000000	-0.030488	0.330481	0.000000	0	1000	1000	1000	1000
18	0	0	-0.030488	4.915388	0.000000	0	0	-0.030488	-2.771779	0.000000	0	0.000000	-0.030488	0.344078	0.000000	0	1000	1000	1000	1000
19	0	0	-0.030488	4.915558	0.000000	0	0	-0.030488	-2.764493	0.000000	0	0.000000	-0.030488	0.350790	0.000000	0	1000	1000	1000	1000
20	0	0	-0.030488	4.922881	0.000000	0	0	-0.030488	-2.749891	0.000000	0	0.000000	-0.030488	0.364385	0.000000	0	1000	1000	1000	1000
21	0	0	-0.030488	4.923047	0.000000	0	0	-0.030488	-2.735618	0.000000	0	0.000000	-0.030488	0.370798	0.000000	0	1000	1000	1000	1000
22	0	0	-0.030488	4.923377	0.000000	0	0	-0.030488	-2.721044	0.000000	0	0.000000	-0.030488	0.384223	0.000000	0	1000	1000	1000	1000
23	0	0	-0.030488	4.930527	0.000000	0	0	-0.030488	-2.713726	0.000000	0	0.000000	-0.030488	0.391103	0.000000	0	1000	1000	1000	1000
24	0	0	-0.030488	4.930851	0.000000	0	0	-0.030488	-2.699152	0.000000	0	0.000000	-0.030488	0.404527	0.000000	0	1000	1000	1000	1000
25	0	0	-0.030488	4.931012	0.000000	0	0	-0.000000	-2.691864	0.000000	0	0.000000	-0.030488	0.411240	0.000000	0	1000	1000	1000	1000
26	0	0	-0.030488	4.931168	0.000000	0	0	-0.000000	-2.677591	0.000000	0	0.000000	-0.030488	0.417653	0.000000	0	1000	1000	1000	1000
27	0	0	-0.030488	4.938313	0.000000	0	0	-0.000000	-2.670271	0.000000	0	0.000000	-0.030488	0.424530	0.000000	0	1000	1000	1000	1000
28	0	0	0.000000	4.938465	0.000000	0	0	-0.000000	-2.655997	0.000000	0	0.000000	-0.030488	0.430942	0.000000	0	1000	1000	1000	1000
29	0	0	0.000000	4.938784	0.000000	0	0	-0.030488	-2.648407	0.000000	0	0.000000	-0.030488	0.444666	0.000000	0	1000	1000	1000	1000
30	0	0	-0.030488	4.938931	0.000000	0	0	-0.000000	-2.634133	0.000000	0	0.000000	-0.030488	0.451079	0.000000	0	1000	1000	1000	1000
31	0	0	-0.030488	4.939238	0.000000	0	0	-0.030488	-2.619557	0.000000	0	0.000000	-0.030488	0.464504	0.000000	0	1000	1000	1000	1000
32	0	0	-0.030488	4.946535	0.000000	0	0	-0.030488	-2.611930	0.000000	0	0.000000	-0.030488	0.478389	0.000000	0	1000	1000	1000	1000
33	0	0	-0.030488	4.946835	0.000000	0	0	-0.030488	-2.597353	0.000000	0	0.000000	-0.030488	0.491813	0.000000	0	1000	1000	1000	1000
34	0	0	-0.030488	4.946973	0.000000	0	0	-0.000000	-2.583079	0.000000	0	0.000000	-0.030488	0.498226	0.000000	0	1000	1000	1000	1000
35	0	0	-0.030488	4.947277	0.000000	0	0	-0.000000	-2.575487	0.000000	0	0.000000	-0.030488	0.511950	0.000000	0	1000	1000	1000	1000
36	0	0	0.000000	4.954554	0.000000	0	0	-0.000000	-2.560871	0.000000	0	0.000000	-0.030488	0.525533	0.000000	0	1000	1000	1000	1000
37	0	0	-0.030488	4.954698	0.000000	0	0	-0.030488	-2.553582	0.000000	0	0.000000	-0.030488	0.532245	0.000000	0	1000	1000	1000	1000
38	0	0	-0.030488	4.954827	0.000000	0	0	-0.030488	-2.539307	0.000000	0	0.000000	-0.030488	0.538657	0.000000	0	1000	1000	1000	1000
39	0	0	-0.030488	4.955124	0.000000	0	0	-0.030488	-2.531714	0.000000	0	0.000000	-0.030488	0.552382	0.000000	0	1000	1000	1000	1000
40	0	0	-0.030488	4.962236	0.000000	0	0	-0.000000	-2.517398	0.000000	0	0.000000	-0.030488	0.558950	0.000000	0	1000	1000	1000	1000
41	0	0	0.000000	4.962375	0.000000	0	0	-0.000000	-2.510108	0.000000	0	0.000000	-0.030488	0.565662	0.000000	0	1000	1000	1000	1000
42	0	0	-0.030488	4.962664	0.000000	0	0	-0.000000	-2.502515	0.000000	0	0.000000	-0.030488	0.579386	0.000000	0	1000	1000	1000	1000
43	0	0	-0.030488	4.962785	0.000000	0	0	-0.030488	-2.488239	0.000000	0	0.000000	-0.030488	0.585798	0.000000	0	1000	1000	1000	1000
44	0	0	-0.030488	4.962920	0.000000	0	0	-0.000000	-2.480949	0.000000	0	0.000000	-0.030488	0.592510	0.000000	0	1000	1000	1000	1000
45	0	0	-0.030488	4.970191	0.000000	0	0	-0.030488	-2.473312	0.000000	0	0.000000	-0.030488	0.606387	0.000000	0	1000	1000	1000	1000
46	0	0	0.000000	4.970306	0.000000	0	0	-0.000000	-2.459036	0.000000	0	0.000000	-0.030488	0.612798	0.000000	0	1000	1000	1000	1000
47	0	0	-0.030488	4.970586	0.000000	0	0	-0.030488	-2.451441	0.000000	0	0.000000	-0.030488	0.626523	0.000000	0	1000	1000	1000	1000
