t	rcthr	rcpit	gyropit	intpit	stabpit	pitout	rcroll	gyroroll	introll	stabroll	rollout	rcyaw	gyroyaw	intyaw	stabyaw	yawout	FR	FL	BR	BL
0	53617	-2931	-0.030488	5.626438	-200.000000	-100	4900	-0.030488	-1.210406	200.000000	100	0.000000	-0.060976	0.165306	18685.000000	200	53617	53417	53417	54017
1	53617	-2931	0.000000	5.626585	-200.000000	-101	4900	-0.000000	-1.195749	200.000000	101	0.000000	-0.030488	0.178656	18685.000000	200	53615	53417	53417	54019
2	53617	-2931	0.000000	5.619672	-200.000000	-101	4900	-0.030488	-1.181449	200.000000	101	0.000000	-0.030488	0.184914	18685.000000	200	53615	53417	53417	54019
3	53617	-2931	0.000000	5.612685	-200.000000	-102	4900	-0.030488	-1.167493	200.000000	102	0.000000	0.000000	0.184154	18685.000000	200	53613	53417	53417	54021
4	53617	-2931	-0.030488	5.612613	-200.000000	-102	4900	-0.000000	-1.153864	200.000000	102	0.000000	0.000000	0.176447	18685.000000	200	53613	53417	53417	54021
5	53617	-2931	-0.030488	5.619459	-200.000000	-103	4900	-0.000000	-1.140565	200.000000	103	0.000000	0.000000	0.161791	18685.000000	200	53611	53417	53417	54023
6	53617	-2931	-0.030488	5.619391	-200.000000	-104	4900	-0.030488	-1.126937	200.000000	104	0.000000	0.000000	0.154083	18685.000000	200	53609	53417	53417	54025
7	53617	-2931	-0.030488	5.619324	-200.000000	-104	4900	-0.030488	-1.113309	200.000000	104	0.000000	0.000000	0.146375	18685.000000	200	53609	53417	53417	54025
8	53617	-2931	0.000000	5.612340	-200.000000	-105	4900	-0.030488	-1.099349	200.000000	105	0.000000	0.000000	0.145619	18685.000000	200	53607	53417	53417	54027
9	53617	-2931	0.000000	5.612342	-200.000000	-105	4900	-0.000000	-1.085378	200.000000	105	0.000000	-0.030488	0.144932	18685.000000	200	53607	53417	53417	54027
10	53617	-2931	-0.030488	5.605424	-200.000000	-106	4900	-0.000000	-1.071077	200.000000	106	0.000000	-0.030488	0.151198	18685.000000	200	53605	53417	53417	54029
11	53617	-2931	-0.030488	5.605555	-200.000000	-107	4900	-0.000000	-1.056421	200.000000	107	0.000000	-0.060976	0.164551	18685.000000	200	53603	53417	53417	54031
12	53617	-2931	-0.030488	5.605746	-200.000000	-107	4900	-0.000000	-1.048409	200.000000	107	0.000000	-0.060976	0.185267	18685.000000	200	53603	53417	53417	54031
13	53617	-2931	-0.030488	5.605868	-200.000000	-108	4900	-0.000000	-1.033753	200.000000	108	0.000000	-0.060976	0.198621	18685.000000	200	53601	53417	53417	54033
14	53617	-2931	-0.030488	5.606050	-200.000000	-108	4900	-0.030488	-1.018755	200.000000	109	0.000000	-0.060976	0.218994	18685.000000	200	53600	53418	53416	54034
15	53617	-2931	0.000000	5.606164	-200.000000	-109	4900	-0.000000	-1.004099	200.000000	109	0.000000	-0.060976	0.232347	18685.000000	200	53599	53417	53417	54035
16	53617	-2931	0.000000	5.606213	-200.000000	-110	4900	-0.000000	-0.989785	200.000000	110	0.000000	-0.030488	0.238681	18685.000000	200	53597	53417	53417	54037
